2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,909 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,910 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,911 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,912 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,913 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
2024-05-30 13:35:22,914 socket_client.py [line:63] _connect_and_send_forever INFO (OSError(98, 'Address already in use'), None) 
